"","orig.ident","nCount_WF","nFeature_WF","cType","area.cType$X3"
"213","SeuratProject",1.62884134409078,37,"SST","HIP_SST"
"214","SeuratProject",1.58238666064608,35,"SST","HIP_SST"
"215","SeuratProject",1.45818964557694,34,"PV","VIS_PV"
"216","SeuratProject",1.63683349317549,36,"PV","VIS_PV"
"217","SeuratProject",0.745006409440935,31,"PV","VIS_PV"
"218","SeuratProject",1.07560781823022,33,"PV","VIS_PV"
"219","SeuratProject",1.13425594587178,35,"PV","VIS_PV"
"220","SeuratProject",0.961484680460306,34,"PV","HIP_PV"
"221","SeuratProject",1.30799111511101,33,"PV","HIP_PV"
"222","SeuratProject",1.57172957244141,37,"VIP","VIS_VIP"
"223","SeuratProject",1.25193441127062,38,"VIP","VIS_VIP"
"224","SeuratProject",1.88233013810744,34,"VIP","VIS_VIP"
"225","SeuratProject",1.76041057326812,35,"SST","VIS_SST"
"226","SeuratProject",1.65013214742048,37,"SST","VIS_SST"
"227","SeuratProject",1.9759015168371,31,"SST","VIS_SST"
"228","SeuratProject",2.1860454589323,35,"SST","VIS_SST"
"229","SeuratProject",1.80609413362822,34,"PV","HIP_PV"
"230","SeuratProject",1.71347448727189,36,"SST","VIS_SST"
"231","SeuratProject",1.54190804497012,38,"SST","VIS_SST"
"232","SeuratProject",1.81015254185993,34,"SST","VIS_SST"
"233","SeuratProject",-5.65990794425826,21,"SST","VIS_SST"
"234","SeuratProject",2.24970624393942,32,"SST","VIS_SST"
"235","SeuratProject",2.03100221339474,33,"SST","VIS_SST"
"236","SeuratProject",1.76488854250517,37,"SST","VIS_SST"
"237","SeuratProject",1.4893028110244,35,"SST","VIS_SST"
"238","SeuratProject",2.01679643765611,34,"SST","VIS_SST"
"239","SeuratProject",1.68483845552836,36,"SST","VIS_SST"
"240","SeuratProject",1.25258434586482,32,"SST","VIS_SST"
"241","SeuratProject",2.2484602459799,33,"SST","VIS_SST"
"242","SeuratProject",2.00663566588898,33,"SST","VIS_SST"
"243","SeuratProject",1.84481434170735,33,"SST","VIS_SST"
"244","SeuratProject",0.901426594663962,31,"SST","VIS_SST"
"245","SeuratProject",1.58498073501033,37,"SST","VIS_SST"
"246","SeuratProject",2.03380242392803,35,"SST","HIP_SST"
"247","SeuratProject",1.91412961693107,36,"SST","VIS_SST"
"248","SeuratProject",1.40796529575985,37,"SST","VIS_SST"
"249","SeuratProject",1.46496074140504,32,"SST","VIS_SST"
"250","SeuratProject",2.25025517546852,35,"SST","VIS_SST"
"251","SeuratProject",1.08671846521361,34,"SST","VIS_SST"
"252","SeuratProject",0.00561972332388538,32,"SST","VIS_SST"
"253","SeuratProject",1.40214364354315,37,"SST","HIP_SST"
"254","SeuratProject",0.837272722686855,38,"SST","VIS_SST"
"255","SeuratProject",0.964819529635276,37,"SST","HIP_SST"
"256","SeuratProject",1.75530203968842,34,"VIP","HIP_VIP"
"257","SeuratProject",1.62062752628644,34,"VIP","VIS_VIP"
"258","SeuratProject",1.55028135155865,37,"VIP","VIS_VIP"
"259","SeuratProject",2.00900993035867,35,"VIP","VIS_VIP"
"260","SeuratProject",1.71273994501944,37,"SST","VIS_SST"
"261","SeuratProject",1.89502514123832,35,"SST","VIS_SST"
"262","SeuratProject",1.70678916010403,37,"SST","VIS_SST"
"263","SeuratProject",1.95850180074932,35,"SST","VIS_SST"
"264","SeuratProject",1.64687563333012,35,"SST","VIS_SST"
"265","SeuratProject",1.42737937525562,33,"SST","VIS_SST"
"266","SeuratProject",0.647807786333778,32,"SST","VIS_SST"
"267","SeuratProject",0.650814725749543,34,"SST","VIS_SST"
"268","SeuratProject",1.60080317926727,36,"SST","VIS_SST"
"269","SeuratProject",1.06555523632302,36,"SST","VIS_SST"
"270","SeuratProject",1.60587628010231,34,"SST","VIS_SST"
"271","SeuratProject",1.71486118612552,36,"SST","VIS_SST"
"272","SeuratProject",1.82588537670712,33,"SST","VIS_SST"
"273","SeuratProject",1.60296104703099,34,"SST","VIS_SST"
"274","SeuratProject",1.63091908347408,35,"SST","VIS_SST"
"275","SeuratProject",2.11894816379922,34,"SST","VIS_SST"
"276","SeuratProject",1.49051769765953,33,"SST","VIS_SST"
"277","SeuratProject",1.91964122775476,34,"SST","VIS_SST"
"278","SeuratProject",2.57289633513239,34,"SST","VIS_SST"
"279","SeuratProject",1.3152733966051,37,"SST","VIS_SST"
"280","SeuratProject",1.32594310246303,36,"SST","VIS_SST"
"281","SeuratProject",1.12460888305508,35,"SST","VIS_SST"
"282","SeuratProject",1.85239832842006,37,"SST","VIS_SST"
"283","SeuratProject",1.65046115399747,37,"SST","VIS_SST"
"284","SeuratProject",1.94471965483303,35,"SST","VIS_SST"
"285","SeuratProject",1.80681529158996,35,"SST","VIS_SST"
"286","SeuratProject",-0.982188412568062,23,"SST","VIS_SST"
